"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.date","sale.price.n","gross.sqft","land.sqft","years.built","cs.pricePERsqft"
"160",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6238,50,NA," B9 "," 179 VINELAND AVENUE ","   "," 10312 ",2,0,2,1," B9 ",42621,603050,1400,2900,2000,430.75
"161",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6240,75,NA," B2 "," 7 FORNES PLACE ","   "," 10312 ",2,0,2,1," B2 ",42517,1040000,2100,6998,2005,495.238095238095
"163",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6243,8,NA," B2 "," 11 MOSELY AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42640,780000,2770,8040,1980,281.58844765343
"164",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6249,230,NA," B2 "," 970 ANNADALE ROAD ","   "," 10312 ",2,0,2,1," B2 ",42478,622000,1657,9135,1950,375.377187688594
"165",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6254,131,NA," B2 "," 137 SOUTH RAILROAD ST ","   "," 10312 ",2,0,2,1," B2 ",42647,725000,1590,3950,2002,455.974842767296
"166",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6265,33,NA," B2 "," 254 RENSSELAER AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42654,850000,2624,6000,1990,323.932926829268
"167",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6265,39,NA," B2 "," 286 JEFFERSON BOULEVARD ","   "," 10312 ",2,0,2,1," B2 ",42480,775000,2758,6000,1975,281.000725163162
"168",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6268,40,NA," B2 "," 175 SINCLAIR AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42543,755000,2100,4000,2002,359.52380952381
"169",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6269,2,NA," B2 "," 316 VINELAND AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42643,830000,2340,4000,2004,354.700854700855
"170",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6280,13,NA," B2 "," 410 EDGEGROVE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42629,750000,2026,6000,1975,370.187561697927
"172",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6297,4,NA," B2 "," 472 LAMONT AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42738,568758,2464,7000,1970,230.82711038961
"173",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6298,74,NA," B2 "," 263 DELMAR AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42640,723000,2472,5000,1978,292.47572815534
"174",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6301,3,NA," B2 "," 462 SHELDON AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42579,970000,4065,12000,1999,238.622386223862
"177",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6320,75,NA," B1 "," 170 ALBEE AVENUE ","   "," 10312 ",2,0,2,1," B1 ",42691,200000,2150,3600,1975,93.0232558139535
"178",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6350,40,NA," B2 "," 473 HOLDRIDGE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42691,1290000,3042,9879,1985,424.063116370809
"179",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6352,14,NA," B2 "," 466 HOLDRIDGE AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42713,860000,3520,6000,1988,244.318181818182
"182",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6359,48,NA," B9 "," 36 PEARE PLACE ","   "," 10312 ",2,0,2,1," B9 ",42401,655000,2200,5000,1980,297.727272727273
"183",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6360,1,NA," B2 "," 639 BARCLAY AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42598,385000,1200,2280,1999,320.833333333333
"184",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6360,1,NA," B2 "," 639 BARCLAY AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42473,295000,1200,2280,1999,245.833333333333
"185",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6360,30,NA," B2 "," 581 BARCLAY AVENUE ","   "," 10312 ",2,0,2,1," B2 ",42487,780000,3670,6000,1987,212.534059945504
"186",5," ANNADALE "," 02 TWO FAMILY DWELLINGS                     "," 1 ",6361,74,NA," B2 "," 180 LENZIE STREET ","   "," 10312 ",2,0,2,1," B2 ",42507,720000,2840,6205,1983,253.521126760563
